producto_id,nombre,categoria,precio,costo,fecha_alta
136,Set 2 tazas,Para llevar,250,127.5,2022-03-29
137,Cafetera de goteo,Para llevar,120,69.6,15/11/2022
138,Molino manual,Para llevar,250,142.5,24/08/2023
139,Pan de muerto,Temporada,45,16.65,2021-02-25
140,Rosca de reyes,Temporada,260,119.6,29/12/2022
141,Frappe de calabaza,Temporada,78,37.44,2022-05-06
142,Latte de canela,Temporada,52,20.28,02/05/2023
143,Ponche navideno,Temporada,55,21.45,09/09/2021
144,Chocolate de temporada,Temporada,60,28.2,13/08/2021
130,Pan integral rebanada,Panaderia,20,7.0,2024-02-28
90,Cafe en grano Veracruz 500g,Para llevar,210,98.7,2021-11-27
