cliente_id,recencia_dias,total_gastado,antiguedad_dias,edad,cluster
174,10.0,9674.91,860,37,3
175,311.0,788.51,672,43,1
176,65.0,179.35,878,45,2
177,266.0,560.39,454,51,1
178,10.0,15759.04,1127,47,3
179,6.0,9933.98,969,38,3
180,8.0,541.94,8,34,0
181,95.0,826.13,1129,21,2
182,12.0,546.86,12,36,0
183,364.0,2087.9,1486,37,1
184,0.0,9194.88,992,39,3
185,67.0,1026.16,788,35,2
187,469.0,1007.93,1135,40,1
188,2.0,9127.66,489,45,3
189,112.0,495.1,521,24,0
190,424.0,505.71,452,64,1
191,46.0,1191.55,920,39,2
192,23.0,723.54,283,32,0
193,6.0,11033.89,593,38,3
194,115.0,631.24,403,54,2
195,443.0,445.43,1101,56,1
196,410.0,3297.97,456,28,1
197,12.0,5972.47,807,31,2
198,18.0,227.91,40,31,0
199,445.0,831.26,1062,43,1
200,24.0,6887.96,923,59,3
202,14.0,447.17,14,21,0
203,15.0,393.49,34,30,0
204,17.0,13022.77,936,31,3
205,36.0,157.44,52,39,0
206,8.0,15251.97,776,44,3
207,7.0,13286.54,1162,47,3
208,38.0,726.06,165,38,0
209,88.0,1166.53,190,43,0
210,367.0,1901.02,1480,41,1
211,80.0,262.25,693,38,2
212,477.0,2185.37,686,41,1
213,34.0,577.17,51,34,0
214,34.0,374.37,44,39,0
215,104.0,319.56,574,46,2
216,80.0,125.79,633,52,2
217,21.0,9149.74,1304,33,3
218,49.0,475.93,589,45,2
219,4.0,367.63,4,25,0
220,367.0,1360.91,1449,46,1
221,276.0,2410.64,867,38,1
222,76.0,1126.19,1047,39,2
223,7.0,10475.57,1268,37,3
224,118.0,676.55,745,45,2
225,4.0,5993.08,1013,38,2
226,104.0,142.49,1085,37,2
227,103.0,81.34,854,22,2
228,15.0,9778.04,1036,58,3
229,1.0,11029.14,915,40,3
230,41.0,94.41,794,33,2
231,18.0,376.94,50,19,0
232,0.0,72.84,21,38,0
233,26.0,444.51,681,28,0
234,274.0,2504.33,1496,49,1
235,471.0,2602.38,773,44,1
236,320.0,2735.41,934,45,1
237,22.0,72.5,46,20,0
238,9.0,90.62,15,31,0
239,29.0,144.34,33,40,0
240,27.0,926.19,154,27,0
241,384.0,2924.95,1002,32,1
242,112.0,477.3,324,22,0
243,9.0,7391.31,1213,52,3
244,207.0,2444.75,582,62,1
245,112.0,587.41,827,49,2
246,45.0,440.79,639,30,2
247,391.0,1303.44,432,50,1
248,2.0,4516.25,782,38,2
249,12.0,782.71,1078,49,2
250,60.0,918.09,997,27,2
251,11.0,73.65,29,22,0
252,5.0,9985.08,1286,30,3
253,227.0,1310.48,1407,46,1
254,30.0,85.38,31,36,0
257,3.0,3817.44,576,51,2
258,12.0,510.0,1193,53,2
259,338.0,2427.83,774,49,1
260,207.0,3240.05,599,44,2
261,82.0,1091.53,1058,27,2
262,26.0,94.33,869,34,2
263,377.0,2887.2,415,38,1
264,102.0,598.67,835,49,2
265,38.0,396.61,54,26,0
266,32.0,443.18,39,31,0
267,414.0,3610.04,656,61,1
268,104.0,888.06,680,40,2
269,28.0,78.4,542,50,2
270,18.0,445.14,39,30,0
271,404.0,3575.97,682,55,1
272,382.0,3503.34,1179,46,1
273,90.0,1141.36,885,25,2
274,319.0,2303.17,611,48,1
276,8.0,882.63,453,31,0
277,30.0,299.81,30,25,0
278,20.0,5976.24,1087,44,2
279,13.0,8623.75,992,39,3
280,75.0,952.66,178,34,0
281,22.0,6625.09,1103,57,3
282,119.0,544.82,1088,22,2
283,57.0,131.3,1100,21,2
284,481.0,2976.88,1345,33,1
285,2.0,52.97,4,23,0
286,89.0,619.05,783,20,0
287,14.0,433.05,42,28,0
288,58.0,707.62,1102,42,2
289,9.0,663.68,523,51,2
290,24.0,11807.49,1374,34,3
291,0.0,7439.55,896,33,3
292,225.0,1563.05,407,30,0
293,272.0,1684.19,842,56,1
294,26.0,958.5,585,33,2
295,15.0,4029.04,668,44,2
296,3.0,287.15,3,39,0
297,11.0,118.64,1189,37,2
298,98.0,947.67,1019,32,2
299,185.0,1011.18,1051,30,2
300,0.0,7305.2,1377,43,3
301,65.0,200.53,131,19,0
302,31.0,913.74,275,38,0
303,87.0,1052.3,934,47,2
304,10.0,667.95,192,52,2
305,97.0,321.55,190,55,2
306,282.0,1189.24,653,38,1
307,62.0,257.74,313,44,2
308,6.0,360.38,970,53,2
309,28.0,862.03,800,43,2
310,448.0,1571.03,745,29,1
311,25.0,14577.42,426,45,3
312,152.0,2713.63,783,47,2
313,7.0,13832.58,1114,55,3
314,2.0,9741.4,588,51,3
315,1.0,15437.45,1341,49,3
316,437.0,472.38,993,32,1
317,362.0,2444.86,700,36,1
318,314.0,3042.35,1430,33,1
319,31.0,1053.67,769,19,0
320,371.0,3391.92,844,25,1
321,14.0,5438.32,1272,52,2
323,8.0,10187.47,449,50,3
324,189.0,2343.45,1165,64,1
325,68.0,87.71,339,48,2
326,14.0,5386.15,509,55,2
327,35.0,874.78,140,20,0
328,0.0,9216.41,868,31,3
329,289.0,3968.1,1227,51,1
330,115.0,171.88,725,31,2
331,14.0,6117.92,355,36,0
332,250.0,1878.41,1071,65,1
333,11.0,8521.13,1281,30,3
335,23.0,559.84,201,37,0
336,27.0,1050.05,195,26,0
337,36.0,140.28,47,31,0
338,14.0,15058.79,514,41,3
339,2.0,11417.75,1059,47,3
340,24.0,481.37,50,30,0
342,219.0,1891.39,503,62,1
343,40.0,305.72,42,29,0
344,10.0,314.89,10,36,0
345,322.0,2887.78,459,60,1
346,22.0,62.21,861,31,2
347,24.0,7096.36,544,53,3
348,60.0,622.79,60,35,0
350,32.0,448.56,279,27,0
351,32.0,462.14,1078,45,2
352,60.0,860.65,1067,49,2
353,457.0,2479.08,1122,43,1
354,5.0,6095.62,847,48,3
355,22.0,2893.35,1367,31,2
356,261.0,3525.28,1257,60,1
357,288.0,2760.6,1212,45,1
358,274.0,3707.06,1262,29,1
359,11.0,7024.51,303,50,3
360,117.0,357.99,983,23,2
361,69.0,880.74,477,50,2
362,58.0,537.09,1184,34,2
363,71.0,261.51,1028,29,2
364,217.0,2413.62,524,49,1
365,227.0,3658.27,689,27,2
366,15.0,13678.77,473,47,3
367,9.0,2621.26,346,53,2
368,14.0,1170.08,1185,24,2
369,16.0,10634.24,1277,38,3
370,56.0,1037.79,173,20,0
371,315.0,3029.57,1146,54,1
372,28.0,439.36,48,24,0
373,2.0,6386.55,1087,29,2
374,230.0,3398.98,1106,27,1
375,3.0,227.78,3,38,0
376,432.0,3940.59,822,59,1
377,99.0,523.86,400,49,2
378,18.0,2905.04,653,29,2
379,32.0,634.41,898,51,2
380,8.0,288.47,8,23,0
381,16.0,7104.88,623,53,3
382,68.0,1156.65,622,25,0
383,416.0,2250.02,723,26,1
384,322.0,3087.65,527,29,1
385,3.0,504.04,6,22,0
387,2.0,2641.43,534,45,2
388,0.0,13028.13,532,54,3
389,11.0,9309.37,1102,55,3
390,103.0,387.06,925,50,2
391,5.0,4035.45,758,47,2
392,48.0,186.09,968,19,2
393,109.0,1015.81,1170,37,2
394,4.0,2753.45,1078,40,2
395,76.0,238.24,156,40,0
396,9.0,6059.35,1143,32,2
397,82.0,338.73,628,21,0
398,110.0,685.22,789,47,2
399,337.0,2346.75,591,42,1
400,357.0,3734.05,417,31,1
401,18.0,139.83,1052,28,2
402,54.0,898.35,796,28,2
403,24.0,488.26,43,23,0
404,10.0,499.12,500,26,0
405,24.0,12378.29,1226,51,3
406,8.0,1116.89,601,40,2
407,63.0,1035.44,1192,24,2
408,36.0,458.91,1010,27,2
409,4.0,12267.69,1389,33,3
410,2.0,15607.86,419,38,3
411,23.0,902.92,137,22,0
412,276.0,789.94,735,48,1
414,3.0,3004.43,641,39,2
415,17.0,9783.4,896,46,3
416,24.0,262.94,24,37,0
417,2.0,5826.21,937,57,3
418,413.0,2341.21,1380,38,1
419,16.0,11645.61,1271,44,3
420,170.0,1885.31,884,55,2
421,296.0,1683.21,1112,51,1
422,18.0,3528.32,985,46,2
423,94.0,1048.28,497,37,2
424,249.0,1531.85,845,27,1
425,115.0,235.39,501,49,2
426,102.0,66.32,506,42,2
427,24.0,4604.87,1364,55,2
429,2.0,8405.69,466,40,3
430,19.0,836.8,221,43,0
431,0.0,4313.35,534,41,2
432,378.0,1036.89,1109,59,1
433,89.0,269.13,541,42,2
434,4.0,2815.81,1206,43,2
435,76.0,816.77,869,31,2
436,17.0,12257.31,1080,47,3
437,270.0,1058.4,1308,41,1
438,23.0,15170.5,1017,60,3
439,29.0,431.37,145,37,0
440,7.0,6020.05,581,60,3
441,27.0,235.53,1132,29,2
442,53.0,725.92,268,27,0
443,25.0,14332.38,353,45,3
444,364.0,2120.85,807,64,1
445,326.0,3785.21,732,52,1
446,411.0,3501.29,805,47,1
447,163.0,2096.48,605,62,2
448,75.0,881.93,667,19,0
449,32.0,133.22,32,23,0
450,21.0,7381.23,394,52,3
451,80.0,293.56,80,39,0
452,104.0,737.27,1158,51,2
453,7.0,509.35,50,25,0
454,25.0,7577.99,463,54,3
455,63.0,1056.76,673,43,2
456,87.0,214.99,819,44,2
457,3.0,11.93,39,37,0
458,20.0,5328.1,1179,52,2
459,458.0,671.5,1469,57,1
460,38.0,985.38,212,27,0
461,340.0,1206.69,1322,29,1
463,333.0,1874.29,964,48,1
464,22.0,126.47,50,30,0
465,20.0,11633.43,812,47,3
466,326.0,2958.76,467,63,1
467,21.0,98.2,55,37,0
468,484.0,1788.96,1008,38,1
469,338.0,2601.51,1456,30,1
470,19.0,929.45,848,25,2
471,287.0,3317.44,732,38,1
472,1.0,198.38,48,39,0
473,60.0,418.79,60,37,0
474,22.0,981.68,547,24,0
475,463.0,2541.4,1400,53,1
476,98.0,1018.75,956,25,2
478,255.0,1355.92,1016,31,1
479,24.0,328.66,24,23,0
480,465.0,3714.7,1218,46,1
481,16.0,184.32,894,34,2
482,23.0,9846.83,690,28,3
483,17.0,12825.3,1266,28,3
484,53.0,467.67,1059,47,2
485,55.0,879.83,1036,30,2
486,280.0,2495.76,687,44,1
487,45.0,104.6,643,29,0
488,110.0,321.49,254,24,0
489,21.0,12589.25,810,36,3
490,22.0,14371.14,1037,53,3
491,36.0,1006.54,436,31,0
492,471.0,2871.49,824,60,1
493,16.0,439.86,16,38,0
494,471.0,1116.53,1426,49,1
495,18.0,9778.53,699,38,3
496,41.0,1085.23,986,36,2
497,396.0,2603.33,889,40,1
498,75.0,112.77,496,31,0
499,12.0,300.28,24,39,0
500,11.0,390.69,862,40,2
501,13.0,4421.11,516,33,0
502,24.0,8926.11,536,47,3
503,217.0,2806.03,436,62,1
504,210.0,2592.79,740,24,2
505,349.0,2183.93,500,55,1
506,24.0,9575.74,1243,42,3
507,12.0,15829.68,355,60,3
508,60.0,417.16,839,45,2
509,65.0,1069.59,1125,21,2
510,25.0,3310.96,372,51,2
511,54.0,496.57,1200,32,2
512,3.0,247.29,32,23,0
513,13.0,10894.27,793,59,3
514,1.0,118.27,37,27,0
515,15.0,474.42,22,28,0
516,25.0,11338.87,1108,40,3
517,28.0,779.19,1076,35,2
518,106.0,876.77,1067,29,2
519,319.0,3326.64,1497,58,1
520,9.0,7916.06,420,55,3
521,90.0,835.95,603,35,2
522,294.0,1134.16,413,56,1
523,114.0,137.17,253,53,2
524,3.0,9797.0,555,56,3
525,20.0,13653.72,620,42,3
526,13.0,5023.7,1064,34,2
527,12.0,8526.04,822,42,3
528,49.0,1104.03,162,29,0
529,68.0,448.09,1000,22,2
530,241.0,2142.45,516,27,0
531,106.0,594.39,108,30,0
532,294.0,3772.69,1046,33,1
534,82.0,272.16,499,25,0
535,476.0,1008.57,720,38,1
536,22.0,6632.71,1147,29,2
537,360.0,2417.72,1270,47,1
538,3.0,477.67,3,24,0
539,404.0,606.87,560,49,1
540,37.0,319.23,854,33,2
541,15.0,6051.07,717,55,3
542,11.0,958.81,796,27,2
543,61.0,671.91,877,48,2
544,34.0,272.68,569,39,2
545,75.0,329.78,249,37,0
546,59.0,369.11,252,55,2
547,16.0,7578.27,1281,33,3
548,15.0,7781.46,596,33,3
549,56.0,268.21,689,25,0
550,59.0,394.4,278,26,0
551,13.0,9392.05,815,35,3
552,117.0,755.46,791,40,2
553,107.0,705.96,478,51,2
554,81.0,1053.08,892,49,2
555,75.0,150.96,418,43,2
556,88.0,909.98,681,28,2
557,19.0,62.52,19,32,0
558,354.0,650.83,831,40,1
559,16.0,10377.93,796,56,3
560,399.0,932.64,653,42,1
561,37.0,578.43,980,25,2
562,472.0,2215.84,796,35,1
563,421.0,1616.3,850,24,1
564,13.0,14310.56,1008,57,3
565,5.0,2824.4,314,37,0
566,19.0,12121.12,1007,37,3
567,52.0,1012.61,566,28,0
568,292.0,953.73,1379,33,1
569,1.0,4775.1,920,43,2
570,206.0,907.84,1073,33,2
571,12.0,491.96,15,40,0
572,57.0,902.3,386,41,2
574,244.0,940.19,1264,28,1
575,27.0,914.7,61,43,0
576,179.0,1653.23,448,43,2
577,205.0,3164.26,735,48,1
578,107.0,647.55,550,53,2
579,82.0,974.75,368,23,0
580,11.0,5509.52,999,31,2
581,3.0,105.67,44,36,0
582,83.0,808.69,729,42,2
583,79.0,923.95,612,38,2
584,25.0,294.91,598,20,0
585,225.0,2515.07,794,63,1
586,315.0,1954.97,1386,58,1
587,39.0,284.55,42,31,0
588,6.0,2649.61,862,50,2
589,17.0,331.85,23,20,0
590,90.0,1109.59,1006,37,2
591,10.0,11509.24,488,39,3
592,33.0,673.15,345,25,0
593,258.0,3247.32,458,27,0
594,3.0,150.76,31,38,0
595,20.0,599.04,20,23,0
596,275.0,1263.95,446,45,1
597,21.0,4183.75,1348,50,2
598,12.0,12183.7,600,48,3
599,11.0,644.12,343,53,2
600,17.0,7339.34,544,53,3
601,75.0,365.94,438,41,2
602,24.0,84.11,33,29,0
603,19.0,425.74,784,25,2
604,4.0,211.41,21,18,0
605,117.0,436.03,259,42,0
606,55.0,285.93,542,51,2
607,6.0,15571.3,1336,57,3
608,465.0,1307.6,1453,30,1
610,8.0,9360.88,824,42,3
611,0.0,14819.0,1244,39,3
612,409.0,3462.81,643,57,1
613,27.0,1013.3,658,54,2
614,73.0,810.45,899,53,2
615,88.0,1179.99,142,26,0
616,37.0,521.61,1028,24,2
617,27.0,75.96,1080,30,2
618,12.0,551.34,52,37,0
619,7.0,363.32,466,28,0
620,70.0,1002.13,334,45,2
621,423.0,3101.39,526,42,1
622,14.0,68.57,14,26,0
623,484.0,3822.45,1423,41,1
624,5.0,12678.29,1036,45,3
625,115.0,314.02,232,48,2
626,27.0,961.63,907,23,2
627,37.0,973.85,1140,20,2
628,6.0,5421.38,1188,40,2
629,48.0,1109.74,1167,39,2
630,55.0,898.53,309,22,0
631,20.0,260.19,44,24,0
632,98.0,178.68,450,30,0
633,14.0,9808.65,1051,55,3
634,4.0,241.48,12,20,0
635,22.0,13512.44,1086,58,3
636,489.0,2153.11,542,56,1
637,81.0,1053.08,1046,50,2
638,116.0,403.87,747,43,2
639,7.0,559.97,7,38,0
640,36.0,441.45,1199,39,2
641,0.0,4854.44,1151,37,2
642,164.0,464.9,681,23,0
643,110.0,589.07,413,49,2
644,60.0,696.37,841,38,2
645,112.0,1188.67,503,32,0
646,8.0,2845.29,545,34,2
647,9.0,337.0,14,21,0
648,17.0,6886.07,1304,49,3
649,13.0,14416.61,911,53,3
650,91.0,1069.63,91,50,0
651,1.0,13700.17,1110,52,3
652,252.0,3331.08,1054,25,1
653,12.0,1012.27,1168,39,2
654,20.0,8062.85,515,40,3
655,16.0,402.01,16,26,0
656,23.0,12939.22,1029,43,3
657,11.0,9859.46,919,58,3
658,19.0,69.62,33,20,0
659,79.0,201.48,1095,28,2
660,391.0,946.97,1143,37,1
661,306.0,1873.75,513,58,1
662,203.0,2015.95,1175,38,1
663,23.0,13611.42,834,43,3
664,12.0,488.35,12,35,0
665,13.0,3508.41,1372,59,2
666,77.0,721.48,434,31,0
667,2.0,384.8,2,31,0
668,21.0,9913.43,1387,51,3
669,54.0,499.31,818,39,2
670,23.0,4425.77,361,47,2
671,31.0,24.16,47,35,0
672,13.0,250.68,14,34,0
673,232.0,438.47,762,38,1
674,443.0,3499.74,1017,38,1
675,67.0,1155.66,939,39,2
676,454.0,1312.19,1114,37,1
677,2.0,5617.54,394,36,0
678,120.0,143.15,592,37,2
679,20.0,1016.4,1011,19,2
680,7.0,3647.81,758,54,2
681,76.0,355.41,197,19,0
682,104.0,174.4,922,48,2
683,119.0,1013.53,481,46,2
684,114.0,408.7,485,46,2
685,19.0,2943.86,1264,43,2
686,271.0,2575.66,1148,52,1
687,464.0,2976.97,803,47,1
688,57.0,267.17,310,44,2
689,48.0,832.37,653,42,2
690,15.0,3701.39,307,42,0
691,100.0,785.98,506,50,2
692,8.0,159.26,19,30,0
693,108.0,672.9,674,39,2
694,0.0,7642.43,954,38,3
695,1.0,9159.53,424,41,3
696,5.0,251.52,50,27,0
697,5.0,100.68,6,40,0
698,118.0,626.82,674,29,2
699,241.0,2942.39,923,64,1
700,0.0,6219.26,558,33,2
701,268.0,2816.92,1291,65,1
702,164.0,926.12,766,29,2
703,4.0,6917.6,316,32,0
704,453.0,2347.59,691,33,1
705,14.0,198.12,340,55,2
706,7.0,15339.81,1060,35,3
707,42.0,207.4,1173,47,2
708,16.0,580.02,921,49,2
709,14.0,10323.17,719,53,3
710,21.0,12325.5,1056,48,3
711,33.0,577.61,34,25,0
712,100.0,544.24,835,51,2
713,347.0,3420.72,1099,32,1
714,16.0,5005.4,436,30,0
715,5.0,8361.31,489,35,3
716,19.0,794.22,598,46,2
717,397.0,3484.05,1473,43,1
718,11.0,11066.49,420,55,3
719,44.0,116.71,72,43,0
720,37.0,50.53,37,25,0
721,36.0,796.64,370,41,0
722,15.0,7228.43,932,49,3
723,18.0,184.53,750,51,2
724,19.0,4069.18,325,58,2
725,23.0,170.65,23,25,0
726,22.0,7944.95,855,54,3
728,83.0,1123.27,1020,45,2
729,66.0,610.53,691,30,2
730,17.0,4122.75,772,33,2
731,18.0,6029.52,1400,40,2
732,93.0,319.82,924,55,2
733,259.0,1205.65,1018,35,1
734,119.0,586.93,1195,55,2
735,21.0,71.9,45,19,0
736,93.0,637.68,170,33,0
737,9.0,2632.29,855,33,2
738,46.0,608.12,704,46,2
739,61.0,862.38,178,41,0
740,20.0,2505.32,631,36,2
741,90.0,171.64,889,28,2
742,84.0,512.13,979,50,2
743,232.0,1488.19,1268,24,1
745,336.0,429.45,1338,52,1
747,40.0,86.96,51,40,0
748,67.0,1077.95,636,49,2
749,66.0,75.58,588,36,2
750,243.0,3353.59,1113,40,1
751,61.0,99.07,933,39,2
752,203.0,653.7,651,29,2
753,3.0,9155.36,1041,58,3
754,8.0,37.22,54,23,0
755,12.0,568.11,396,26,0
756,8.0,525.12,8,32,0
757,347.0,2024.54,1418,40,1
758,326.0,2599.26,1192,61,1
759,338.0,932.59,571,38,1
760,490.0,2342.88,653,38,1
761,52.0,408.99,345,27,0
762,114.0,644.13,883,43,2
763,27.0,318.63,673,24,0
764,113.0,671.69,538,24,0
765,2.0,6506.56,629,49,3
766,114.0,278.62,793,40,2
767,9.0,477.95,9,33,0
768,454.0,1958.85,1143,24,1
769,26.0,1034.44,689,32,2
770,10.0,10303.08,489,32,3
771,15.0,3874.34,1235,52,2
772,18.0,8248.06,904,34,3
773,59.0,991.41,226,45,0
774,27.0,469.25,94,23,0
775,6.0,5629.95,1100,55,3
776,9.0,1198.63,1199,34,2
778,108.0,556.46,147,43,0
779,7.0,5167.61,1065,34,2
780,30.0,212.19,862,48,2
781,253.0,1911.16,805,56,1
782,286.0,3728.42,1477,24,1
783,8.0,11818.17,918,33,3
784,316.0,1663.19,922,57,1
785,22.0,4631.39,1155,30,2
786,9.0,311.72,28,31,0
787,20.0,12087.18,318,46,3
788,404.0,3522.99,404,30,1
789,73.0,977.38,1176,25,2
790,84.0,509.33,627,47,2
791,27.0,57.96,27,34,0
792,349.0,1605.84,1461,43,1
793,243.0,1480.85,891,52,1
794,177.0,2691.56,612,55,2
795,5.0,11484.29,750,50,3
796,415.0,2523.79,1068,29,1
797,282.0,3815.01,1046,64,1
798,82.0,1014.4,214,34,0
799,16.0,11447.94,355,55,3
800,39.0,336.27,887,32,2
801,24.0,925.57,789,55,2
802,13.0,5886.95,1232,47,3
803,16.0,14347.1,476,55,3
804,232.0,3427.96,419,38,2
805,18.0,14808.9,736,37,3
806,11.0,7713.54,1217,42,3
807,270.0,3986.52,1198,33,1
808,58.0,1123.02,1056,52,2
809,413.0,540.24,888,28,1
810,317.0,3245.61,1206,57,1
811,400.0,1952.23,581,49,1
812,67.0,814.54,1048,31,2
813,22.0,248.21,33,38,0
814,70.0,258.56,1147,31,2
815,9.0,161.34,39,38,0
816,14.0,6655.5,1232,36,3
817,3.0,2836.92,766,30,2
818,106.0,87.34,695,37,2
819,7.0,10313.42,764,54,3
820,58.0,501.83,496,20,0
821,87.0,169.33,926,32,2
822,182.0,576.67,1127,36,2
823,467.0,707.58,1453,31,1
824,19.0,706.25,162,24,0
825,1.0,8455.8,749,46,3
826,16.0,13919.73,1361,56,3
828,329.0,429.83,999,38,1
829,72.0,1055.0,290,23,0
830,25.0,315.2,289,21,0
831,25.0,903.24,656,46,2
832,30.0,438.36,40,19,0
833,21.0,5512.8,516,42,2
834,20.0,82.84,43,33,0
835,6.0,217.36,48,20,0
837,8.0,63.2,11,31,0
838,3.0,11025.04,772,33,3
839,9.0,223.51,9,24,0
840,72.0,935.22,72,40,0
841,34.0,200.92,34,39,0
842,35.0,1115.82,737,23,0
843,89.0,1113.57,491,27,0
844,306.0,3983.0,798,22,1
845,291.0,430.24,404,60,1
846,25.0,6015.69,654,29,2
847,18.0,6702.84,1276,34,3
848,58.0,840.94,850,40,2
849,192.0,2865.36,1240,23,2
850,237.0,3137.93,1445,39,1
851,107.0,361.23,124,28,0
852,444.0,2947.63,444,58,1
853,18.0,9010.98,1365,48,3
854,8.0,10656.32,1106,52,3
855,109.0,868.27,382,29,0
856,11.0,528.23,11,37,0
857,5.0,164.91,17,19,0
858,18.0,15578.63,947,55,3
